	Filename,Cluster
MEDOID:	1aoeA.B99990017.pdb,0
	1aoeA.B99990001.pdb,0
	1aoeA.B99990002.pdb,0
	1aoeA.B99990007.pdb,0
	1aoeA.B99990008.pdb,0
	1aoeA.B99990011.pdb,0
	1aoeA.B99990012.pdb,0
	1aoeA.B99990013.pdb,0
	1aoeA.B99990014.pdb,0
	1aoeA.B99990017.pdb,0
	1aoeA.B99990018.pdb,0
	1aoeA.B99990019.pdb,0
	1aoeA.B99990021.pdb,0
	1aoeA.B99990022.pdb,0
	1aoeA.B99990023.pdb,0
	1aoeA.B99990025.pdb,0
	1aoeA.B99990026.pdb,0
	1aoeA.B99990027.pdb,0
	1aoeA.B99990028.pdb,0
	1aoeA.B99990029.pdb,0
	1aoeA.B99990030.pdb,0
	1aoeA.B99990031.pdb,0
	1aoeA.B99990032.pdb,0
	1aoeA.B99990034.pdb,0
	1aoeA.B99990037.pdb,0
	1aoeA.B99990039.pdb,0
	1aoeA.B99990040.pdb,0
	1aoeA.B99990042.pdb,0
	1aoeA.B99990043.pdb,0
	1aoeA.B99990045.pdb,0
	1aoeA.B99990047.pdb,0
MEDOID:	1aoeA.B99990024.pdb,1
	1aoeA.B99990003.pdb,1
	1aoeA.B99990005.pdb,1
	1aoeA.B99990006.pdb,1
	1aoeA.B99990009.pdb,1
	1aoeA.B99990020.pdb,1
	1aoeA.B99990024.pdb,1
	1aoeA.B99990041.pdb,1
MEDOID:	1aoeA.B99990050.pdb,2
	1aoeA.B99990004.pdb,2
	1aoeA.B99990010.pdb,2
	1aoeA.B99990016.pdb,2
	1aoeA.B99990033.pdb,2
	1aoeA.B99990035.pdb,2
	1aoeA.B99990036.pdb,2
	1aoeA.B99990038.pdb,2
	1aoeA.B99990044.pdb,2
	1aoeA.B99990046.pdb,2
	1aoeA.B99990049.pdb,2
	1aoeA.B99990050.pdb,2
MEDOID:	1aoeA.B99990015.pdb,3
	1aoeA.B99990015.pdb,3
	1aoeA.B99990048.pdb,3
