pbd, molpdf_coor1, DOPE_coor1, DOPEHR_coor1, NDOPE_coor1, outlier_coor1, allowed_coor1, molpdf_coor2, DOPE_coor2, DOPEHR_coor2, NDOPE_coor2, outlier_coor2, allowed_coor2, coef_var_coor1, coef_var_coor2
1a0aA, -0.020526557803811362, -0.29305934818659857, -0.5273254671521036, 0.793397226005265, 0.07793034782896358, -0.008392449725547318, 0.5129902391264891, 0.007324612904039867, 0.049689394047194316, -0.03535557447767116, 0.842299682525544, -0.1536214727721918, 0.47043228441294616, 0.39317458316562687
1a1w_, -0.28498891768074053, 0.047115808760618674, 0.08253944800672022, 0.20338601122120625, 0.9313049881030612, -0.03246238531938163, 0.8974727309089999, -0.05891085762398426, -0.10335611153987054, -0.25229569857949624, 0.3414600119011325, -0.011902230331733757, 0.46807699885326703, 0.37714593179043204
1a4pA, 0.4008734337523396, -0.2318570519044301, -0.733556354491478, 0.2382551346463388, 0.4144524026513022, -0.13748297760154188, 0.4029058733558799, 0.3866855306139987, 0.36465124428298457, -0.36251958051104133, 0.6386754023484662, -0.1258726016776492, 0.6984476238914182, 0.18740547991444123
1a8o_, 0.9719366040641984, -0.0633301688970961, -0.15796794066087386, -0.1624027620177134, 0.0, 0.0, -0.23329471625299678, -0.291081966254216, -0.5520922171481383, -0.7456802585924254, -0.0, -0.0, 0.7227882191861741, 0.2693097593054592
1af8_, 0.07906661970931216, -0.0036048754279310647, -0.018545158559611655, -0.015187364357692926, -0.9960585954531488, 0.032065090092772905, 0.8131231383333861, -0.11320004451586868, -0.2849525988505643, -0.48865709334762064, 0.07763071510741464, -0.0024990857819495826, 0.9252494072141528, 0.05668363991920086
1afp_, 0.4098586427066045, -0.2838777757988258, -0.6350619619475518, 0.3523333570911326, 0.4578262048256384, -0.11992488294504412, 0.24463527197603135, 0.2540343040366074, 0.44873944013197725, -0.2976961855187294, 0.7491548624391478, -0.1561955318159551, 0.6802305376097282, 0.21660513253796831
1agqA, 0.038528059702879716, -0.036935637990544286, -0.06504255226453559, 0.17704328767113683, -0.9795009560785086, 0.04641513749371439, 0.9966375894374792, -0.0023593674132741283, -0.0643965104086691, 0.018899830305596596, 0.0468232577592581, -0.003378919956904689, 0.7921349904774927, 0.10221788806547635
1ail_, 0.8090702445477341, -0.12785956645956684, -0.2817631606199591, -0.4996666808680489, 0.0, 0.0, -0.5862599218573085, -0.18450024946780866, -0.3252803592763442, -0.7186457053647717, -0.0, -0.0, 0.7252079073967562, 0.2487984913566192
1am9A, 0.19251830979758466, -0.15896194936156216, -0.2376558865270494, 0.9369738224801268, 0.05698006308255385, -0.004561473992431223, -0.0652401742857644, -0.007500080507104039, -0.038692968840636444, -0.05838741989086894, 0.9939153812603991, -0.0539763532144537, 0.505582896120519, 0.4249796554369471
1apj_, 0.07462120945259075, -0.17569998532391573, -0.5339080250872353, 0.31048784796227574, 0.7582888241685615, -0.08425417742326581, 0.10527488949450628, 0.1835906297207129, 0.6705768290029333, -0.32378293253732315, 0.62899846049891, -0.07116139411629495, 0.48578956335349915, 0.39313427642962495
