	Filename,Cluster
MEDOID:	1f4h.B99990032.pdb,0
	1f4h.B99990005.pdb,0
	1f4h.B99990006.pdb,0
	1f4h.B99990009.pdb,0
	1f4h.B99990018.pdb,0
	1f4h.B99990022.pdb,0
	1f4h.B99990025.pdb,0
	1f4h.B99990029.pdb,0
	1f4h.B99990032.pdb,0
	1f4h.B99990033.pdb,0
	1f4h.B99990040.pdb,0
	1f4h.B99990041.pdb,0
MEDOID:	1f4h.B99990047.pdb,1
	1f4h.B99990003.pdb,1
	1f4h.B99990047.pdb,1
MEDOID:	1f4h.B99990002.pdb,2
	1f4h.B99990002.pdb,2
	1f4h.B99990048.pdb,2
MEDOID:	1f4h.B99990046.pdb,3
	1f4h.B99990024.pdb,3
	1f4h.B99990046.pdb,3
MEDOID:	1f4h.B99990044.pdb,4
	1f4h.B99990004.pdb,4
	1f4h.B99990019.pdb,4
	1f4h.B99990021.pdb,4
	1f4h.B99990035.pdb,4
	1f4h.B99990038.pdb,4
	1f4h.B99990044.pdb,4
	1f4h.B99990049.pdb,4
MEDOID:	1f4h.B99990013.pdb,5
	1f4h.B99990013.pdb,5
	1f4h.B99990016.pdb,5
	1f4h.B99990023.pdb,5
MEDOID:	1f4h.B99990036.pdb,6
	1f4h.B99990008.pdb,6
	1f4h.B99990011.pdb,6
	1f4h.B99990012.pdb,6
	1f4h.B99990014.pdb,6
	1f4h.B99990015.pdb,6
	1f4h.B99990031.pdb,6
	1f4h.B99990036.pdb,6
MEDOID:	1f4h.B99990037.pdb,7
	1f4h.B99990001.pdb,7
	1f4h.B99990010.pdb,7
	1f4h.B99990017.pdb,7
	1f4h.B99990026.pdb,7
	1f4h.B99990030.pdb,7
	1f4h.B99990037.pdb,7
MEDOID:	1f4h.B99990043.pdb,8
	1f4h.B99990007.pdb,8
	1f4h.B99990020.pdb,8
	1f4h.B99990028.pdb,8
	1f4h.B99990034.pdb,8
	1f4h.B99990039.pdb,8
	1f4h.B99990043.pdb,8
	1f4h.B99990050.pdb,8
MEDOID:	1f4h.B99990027.pdb,9
	1f4h.B99990027.pdb,9
	1f4h.B99990042.pdb,9
	1f4h.B99990045.pdb,9
